Epoch: [0][1/35]	Loss 3.6959 (3.6959)	Acc 0.498 (0.498)
Epoch: [0][2/35]	Loss 30.4310 (17.0635)	Acc 0.999 (0.749)
Epoch: [0][3/35]	Loss 15.9856 (16.7042)	Acc 1.000 (0.832)
Epoch: [0][4/35]	Loss 19.9724 (17.5212)	Acc 0.999 (0.874)
Epoch: [0][5/35]	Loss 9.8552 (15.9880)	Acc 0.999 (0.899)
Epoch: [0][6/35]	Loss 8.0239 (14.6607)	Acc 0.999 (0.916)
Epoch: [0][7/35]	Loss 5.4864 (13.3501)	Acc 1.000 (0.928)
Epoch: [0][8/35]	Loss 14.0619 (13.4390)	Acc 1.000 (0.937)
Epoch: [0][9/35]	Loss 9.4168 (12.9921)	Acc 0.999 (0.944)
Epoch: [0][10/35]	Loss 5.4169 (12.2346)	Acc 0.999 (0.949)
Epoch: [0][11/35]	Loss 2.5739 (11.3564)	Acc 0.999 (0.954)
Epoch: [0][12/35]	Loss 3.0332 (10.6628)	Acc 0.999 (0.958)
Epoch: [0][13/35]	Loss 5.8113 (10.2896)	Acc 0.999 (0.961)
Epoch: [0][14/35]	Loss 4.5335 (9.8784)	Acc 0.999 (0.964)
Epoch: [0][15/35]	Loss 5.3486 (9.5764)	Acc 0.999 (0.966)
Epoch: [0][16/35]	Loss 2.7651 (9.1507)	Acc 0.999 (0.968)
Epoch: [0][17/35]	Loss 2.7677 (8.7753)	Acc 0.999 (0.970)
Epoch: [0][18/35]	Loss 2.0394 (8.4010)	Acc 0.999 (0.972)
Epoch: [0][19/35]	Loss 1.2747 (8.0260)	Acc 0.999 (0.973)
Epoch: [0][20/35]	Loss 1.3205 (7.6907)	Acc 0.999 (0.974)
Epoch: [0][21/35]	Loss 1.1491 (7.3792)	Acc 0.999 (0.976)
Epoch: [0][22/35]	Loss 0.5915 (7.0707)	Acc 0.999 (0.977)
Epoch: [0][23/35]	Loss 2.8653 (6.8878)	Acc 0.999 (0.978)
Epoch: [0][24/35]	Loss 1.5279 (6.6645)	Acc 0.999 (0.978)
Epoch: [0][25/35]	Loss 0.9820 (6.4372)	Acc 0.999 (0.979)
Epoch: [0][26/35]	Loss 1.3675 (6.2422)	Acc 0.999 (0.980)
Epoch: [0][27/35]	Loss 1.1355 (6.0531)	Acc 0.998 (0.981)
Epoch: [0][28/35]	Loss 0.4280 (5.8522)	Acc 0.997 (0.981)
Epoch: [0][29/35]	Loss 0.8780 (5.6806)	Acc 0.998 (0.982)
Epoch: [0][30/35]	Loss 0.3703 (5.5036)	Acc 0.999 (0.982)
Epoch: [0][31/35]	Loss 0.3896 (5.3387)	Acc 0.999 (0.983)
Epoch: [0][32/35]	Loss 0.7211 (5.1944)	Acc 0.999 (0.983)
Epoch: [0][33/35]	Loss 0.3591 (5.0478)	Acc 0.999 (0.984)
Epoch: [0][34/35]	Loss 0.4710 (4.9132)	Acc 0.999 (0.984)
Epoch: [0][35/35]	Loss 0.0102 (4.9042)	Acc 0.998 (0.984)
Validation: [0][1/12]	Loss 0.1388 (0.1388)	Acc 0.999 (0.999)
Validation: [0][2/12]	Loss 0.1752 (0.1570)	Acc 0.999 (0.999)
Validation: [0][3/12]	Loss 0.3130 (0.2090)	Acc 0.999 (0.999)
Validation: [0][4/12]	Loss 0.1916 (0.2047)	Acc 0.999 (0.999)
Validation: [0][5/12]	Loss 0.2460 (0.2129)	Acc 0.999 (0.999)
Validation: [0][6/12]	Loss 0.5041 (0.2615)	Acc 0.999 (0.999)
